Date,Ex Rate (sight bill),Thai Hom Mali Rice Grade B,White Rice 5%,White Broken Rice A.1 Super,White Glutinous Rice 10%,Parboiled Rice 100%
2008-01-09,33.05,638.0,374.0,361.0,558.0,398.0
2008-01-16,33.0,657.0,377.0,365.0,529.0,404.0
2008-01-23,32.94,688.0,387.0,378.0,514.0,420.0
2008-01-30,32.86,705.0,418.0,403.0,510.0,440.0
2008-02-05,32.73,732.0,444.0,429.0,518.0,466.0
2008-02-13,32.7,733.0,445.0,430.0,518.0,466.0
2008-02-20,32.32,743.0,457.0,438.0,537.0,510.0
2008-02-27,32.02,749.0,470.0,454.0,542.0,529.0
2008-03-05,31.41,763.0,495.0,479.0,552.0,555.0
2008-03-12,31.36,771.0,544.0,512.0,553.0,604.0
2008-03-19,30.94,846.0,567.0,519.0,580.0,612.0
2008-03-26,31.18,904.0,611.0,576.0,624.0,656.0
2008-04-02,31.38,993.0,779.0,668.0,731.0,763.0
2008-04-09,31.56,1114.0,838.0,727.0,759.0,870.0
2008-04-23,31.25,1158.0,878.0,766.0,766.0,990.0
2008-04-30,31.57,1261.0,922.0,800.0,817.0,1078.0
2008-05-07,31.52,1228.0,923.0,801.0,818.0,1080.0
2008-05-14,32.3,1198.0,1003.0,781.0,799.0,1054.0
2008-05-21,31.71,1220.0,1022.0,796.0,779.0,1074.0
2008-05-28,32.0,1175.0,944.0,755.0,737.0,996.0
2008-06-04,32.43,1091.0,864.0,677.0,693.0,948.0
2008-06-11,32.91,1084.0,857.0,639.0,690.0,941.0
2008-06-18,32.96,1081.0,856.0,639.0,689.0,939.0
2008-06-25,33.35,1069.0,846.0,631.0,681.0,928.0
2008-07-02,33.22,1040.0,833.0,601.0,650.0,899.0
2008-07-09,33.55,997.0,807.0,579.0,644.0,857.0
2008-07-16,33.27,1005.0,815.0,583.0,649.0,865.0
2008-07-23,33.17,976.0,817.0,569.0,618.0,867.0
2008-07-30,33.3,938.0,798.0,550.0,600.0,864.0
2008-08-07,33.43,935.0,794.0,548.0,597.0,860.0
2008-08-13,33.48,934.0,777.0,530.0,580.0,826.0
2008-08-20,33.92,922.0,750.0,507.0,556.0,799.0
2008-08-27,33.92,905.0,734.0,491.0,539.0,783.0
2008-09-03,34.23,897.0,760.0,503.0,535.0,792.0
2008-09-10,34.42,892.0,756.0,499.0,531.0,788.0
2008-09-17,34.1,879.0,745.0,493.0,525.0,776.0
2008-09-24,33.85,865.0,733.0,454.0,501.0,749.0
2008-10-01,33.8,852.0,719.0,423.0,486.0,734.0
2008-10-08,34.38,822.0,691.0,401.0,462.0,691.0
2008-10-15,33.9,818.0,670.0,392.0,469.0,670.0
2008-10-22,34.24,810.0,648.0,372.0,464.0,648.0
2008-10-29,34.7,799.0,609.0,337.0,443.0,609.0
2008-11-05,34.66,784.0,580.0,322.0,443.0,580.0
2008-11-12,34.85,780.0,576.0,320.0,441.0,576.0
2008-11-19,34.79,812.0,578.0,321.0,457.0,592.0
2008-11-26,35.17,803.0,571.0,317.0,467.0,586.0
2008-12-03,35.28,801.0,569.0,317.0,465.0,585.0
2008-12-11,35.0,793.0,559.0,305.0,484.0,589.0
2008-12-17,34.43,805.0,568.0,309.0,492.0,599.0
2008-12-24,34.38,822.0,569.0,310.0,508.0,615.0
2009-01-07,34.95,839.0,560.0,319.0,500.0,620.0
2009-01-14,34.75,874.0,579.0,336.0,518.0,654.0
2009-01-21,34.8,873.0,592.0,336.0,517.0,683.0
2009-02-04,34.72,875.0,594.0,337.0,519.0,685.0
2009-02-11,34.9,869.0,591.0,335.0,516.0,681.0
