Date,Pakistan_White_5%
1997-08-15,376.5112781954887
1997-09-15,240.0
1997-10-15,234.0
1997-11-15,239.33333333333334
1997-12-15,265.0
1998-01-15,265.0
1998-02-15,263.3333333333333
1998-03-15,270.0
1998-04-15,285.0
1998-05-15,376.5112781954887
1998-06-15,376.5112781954887
1998-07-15,376.5112781954887
1998-08-15,376.5112781954887
1998-09-15,268.6666666666667
1998-10-15,270.0
1998-11-15,263.6666666666667
1998-12-15,254.66666666666666
1999-01-15,247.33333333333334
1999-02-15,246.0
1999-03-15,240.0
1999-04-15,229.0
1999-05-15,240.0
1999-06-15,256.6666666666667
1999-07-15,258.6666666666667
1999-08-15,258.6666666666667
1999-09-15,255.33333333333334
1999-10-15,220.0
1999-11-15,205.0
1999-12-15,205.0
2000-01-15,206.0
2000-02-15,210.0
2000-03-15,207.0
2000-04-15,188.33333333333334
2000-05-15,188.33333333333334
2000-06-15,192.0
2000-07-15,201.0
2000-08-15,205.0
2000-09-15,201.33333333333334
2000-10-15,188.33333333333334
2000-11-15,172.0
2000-12-15,171.0
2001-01-15,171.0
2001-02-15,171.0
2001-03-15,171.0
2001-04-15,171.0
2001-05-15,171.0
2001-06-15,171.0
2001-07-15,178.33333333333334
2001-08-15,178.66666666666666
2001-09-15,178.33333333333334
2001-10-15,171.0
2001-11-15,171.0
2001-12-15,171.0
2002-01-15,171.0
2002-02-15,171.0
2002-03-15,171.0
2002-04-15,171.0
2002-05-15,182.33333333333334
2002-06-15,195.0
2002-07-15,198.0
2002-08-15,193.0
2002-09-15,185.0
2002-10-15,184.0
2002-11-15,177.0
2002-12-15,170.0
2003-01-15,169.0
2003-02-15,174.0
2003-03-15,178.0
2003-04-15,188.0
2003-05-15,200.0
2003-06-15,200.0
2003-07-15,200.0
2003-08-15,206.0
2003-09-15,209.0
2003-10-15,197.0
2003-11-15,188.0
2003-12-15,198.0
2004-01-15,223.0
2004-02-15,230.0
2004-03-15,256.0
2004-04-15,270.0
